text,movement,style,year,corpus,var
"   О взятии этого монастыря в Соловецком летописце сказано следующее: «На Клементьеве место прислан с Москвы воевода Иван Мещеринов с началными людьми, да с ним были московский стрелцы и вологоцкия и устюжския; да з Двины стрелцов 900 человек; и сумския и кемския стрелцы ему ж вручены. ",1,0,1861,0,с
  ― Из Москвы.   ― С Москвы?..  Сами-то московские будете? ,0,1,1860,0,с
" Послы отправили толмача и подьячего проведывать: вор, присланный из Крыма, по приметам оказался тот самый, о котором слышали в Кафе; о другом же воре подьячий сказал, что он его знает, бывал в Новой Чети подьячим, Тимошкою зовут Акундинов, родиною вологжанин, стрелецкий сын, дворишко и жену свою сжег и с Москвы бежал безвестно, а после объявился в Литве, назывался князем Тимофеем Великопермским, да тут же  с Тимошкою на визиривом дворе Новой же Чети молодой подьячий Костка, и называется тимошкиным человеком. ",1,0,1860,0,с
" Церковный дьячок Игнашка Яхлаков носил бумагу согнутую и говорил во весь мир, что пришла государева грамота с Москвы, велено на Устюге 17 дворов грабить. ",1,0,1860,0,с
"и  Дьяконы и всяких чинов жилецкие люди: в нынешнем, 158 году марта 15 за два часа до света приехали с Москвы немцы и стали на Никитиной улице, и того же дня в другом часу ночи те же немцы поехали из Новгорода вон, и на улицких караулах посадские люди их спрашивали: что-де вы идете ночью без государева пристава и без московского толмача? ",1,0,1860,0,с
" В тот же день отправлена другая грамота с угрозою, что если новгородцы князя Хованского не примут и не будут слушаться и к сыску воров и заводчиков не отдадут, то государь пошлет с Москвы бояр и воевод с многими ратными людьми и велит учинить над новгородцами большое разоренье. ",1,0,1860,0,с
" Стрелец Коза отвечал: «Из-за рубежа не слыхать ничего, боимся московского рубежа; слышали мы, что идут к нам с Москвы во Псков многие служивые люди. ",1,1,1860,0,с
" Через несколько времени толмач привел к Головину русского человека, который объявил, что зовут его Константином, сын стремянного конюха Евдокима Конюховского, был на Москве в подьячих, сначала в приказе Большого дворца, а после в приказе Казанского дворца; с Москвы съехал с государем своим, князем Иваном Васильевичем Шуйским, тому лет с семь, оставя в Москве мать. ",1,0,1860,0,с
" Дворяне и дети боярские и всякие люди с Москвы разъехались ― великому государю неизвестно, по вашему ли отпуску они разъехались или самовольством?» ",1,0,1859,0,с
" Дворян и детей боярских без государева указа с Москвы мы никуда не отпускали, а которые разъехались по домам, тем всем велено быть к государеву приезду в Москву». ",1,0,1859,0,с
" В наказе Аладьину говорилось: «Скажут: нам подлинно известно, что польских и литовских людей, разосланных по городам после кремлевского взятия, всех мужики побили» ― отвечать: «Сосланы были польские и литовские люди с Москвы в города для береженья: к Соли-Галицкой, да в Галич, да на Чухлому, да на Унжу, и пришли к тем городам изгоном воры, ваши же черкасы, и тех польских и литовских людей немногих  побили ваши же черкасишки, а по другим городам все целы». ",1,0,1859,0,с
"Безобразов  по воре Федьке Андронове стал Расстриге близок на Москве, а как Расстригу убили, то он с Москвы сбежал и в Тушине у вора был, и с такими как было приказывать?» ",1,0,1859,0,с
" А Филарет Никитич, будто бы еще с Москвы не поехав, договаривался с патриархом Гермогеном, чтоб быть на Московском государстве тебе, великому государю, а князь Василий Васильевич Голицын будто бы хотел государствовать сам. ",1,0,1859,0,с
" У посланников шуб не было, и они послали одни соболи; визирь рассердился и встретил их укорами за козацкие разбои; посланники жаловались, что им уже недель с пять корму не дают: визирь отвечал: «Вам и без корму можно быть сытым, соболей у вас много, а мне ничего не пришлете, соболи у вас родятся на Москве и с Москвы ходят во все государства; в Литве соболей  не родится, приходят из Москвы, а литовский посол прислал мне сороков с 50 и больше: так вам бы промыслить, купить мне соболей хотя сороков с 20 или больше». ",1,0,1859,0,с
" Все равно уже мы заворовали; побить было всех, а как они будут назад из Царя-города, то мы их и тогда побьем, все равно наша служба государю не во что, выдает нас в руки недругам нашим, турецким людям; хотя с Москвы пришлют на нас и сто тысяч, то мы не боимся, даром нас не возьмут, сберемся в один городок и помрем все вместе,а  если государь сошлется с турским и крымским царями и придут на нас ратные люди со всех сторон, то мы отойдем к черкасам в Запороги, они нас не выдадут». ",1,0,1859,0,с
  1) Пипера и Рейншильда ему (Синявину) схватить и развести с Москвы. ,1,0,1836,0,с
" Он же прииде из Орды на Москву и взяша мир с великим князем, и иде с Москвы на Вятку, с княгинею и с детьми, болен бо бяше уже, и пребысть на Вятке пять месяцев, и в больший недуг впаде, и преставися, месяца декемврия в 21 день. ",1,0,1828,0,с
"  3) Разные городские пошлины: торговые, судные, питейные, банные, вносимые в казну большого прихода (с Москвы 12000, Смоленска 8000, Пскова 12000, Новагорода 6000, Старой Русы, где варилась соль, 18000, Торжка 800, Твери 700, Ярославля 1200, Костромы 1800, Нижнего 7000, Казани 11000, Вологды 2000, и проч. ",1,0,1822,0,с
" Оттуды ездил на копеешных в Селявино с отцом моим видетца, и чрез 12 чесов опять возвратился.   16 ― Поехал с Москвы.   19 ― Приехал в С: Петербурх. ",1,0,1752,0,с
  20 ― Приехал к Москве.   22 ― Поехал с Москвы на Калугу.   26 ― Приехал в Киев. ,1,0,1752,0,с
  7 декабря поехал я с Москвы к своему Генералу. ,1,0,1752,0,с
  29 ― Получил я вышепоменутой ордер от Фелт Маршела.   5 Февраля поехал я с Москвы.   9 ― Приехал в С: Петербурх и явился в колегии иностранных дел. ,1,0,1752,0,с
  17 апреля выехал с Москвы в С: Петербурх по письму канцлера Графа Бестужева Рюмина. ,1,0,1752,0,с
" А которые для пятикопеешников с Москвы присланы были, те да[вно] отпущены, и просить не посмел, здесь же сыскать неможно. ",1,0,1735,0,с
"  5. Сухой путь из Русии в Сибирь и чрез всю Сибирь зделан так далек, что вдвое или более, нежели ему быть можно, ибо все купцы и посыльныя ездят с Москвы чрез Вологду, Устюг, Соль Вычеготскую на Верхотурье и до Тобольска с три тысячи верст, мало же ближе и чрез Казань на Верхотурье; от Тобольска же в Дауры чрез Тару, Томск, Енисейск и до Иркутска  и того кривяе, чрез что в. и. в. указы и от правинцей нуждныя доношения в надлежащее время приходить не могут, а ездящим превеликой и весьма несносной труд. ",1,0,1726,0,с
"  Того ж августа месяца с Москвы начали войски отходить, а имянно в 22 день с первою частью генерал-маеор Бутурлин пошел (при котором корпусе и государь сам присудствовал) з двумя полками гвардии Преображенским и Семеновским, а потом и протчия следовали, как могли убратца. ",1,0,1710,0,с
  Також по договору помочные деньги с Москвы и аммуниция из Смоленска х королю отправлены. ,1,0,1710,0,с
"  Государь по имеющим тогда ведомостям как подтвержали, якобы неприятель намерен был отправить свой флот к городу Архангелскому, в майе месяце с 5 баталионами гвардии пошел с Москвы к городу Архангелскому. ",1,0,1710,0,с
"  С Москвы ездил государь на Воронеж и, тамо будучи и зделав модель крепости, которую делать в море у Котлина-острова, послал со оною губернатора Меншикова (понеже оной при вымеривании того места был), которой той же зимы оную и построил, и нарекли оной имя Кроншлот. ",1,0,1710,0,с
"  Майя в 5 день намерен был его величество с Москвы ехать на почте к армее в Полоцк, но за жестокою тогда приключившеюся болезнию, лихораткою, был на Москве до 30 числа того ж месяца. ",1,0,1710,0,с
" Где, взяв день рождения своего, на другой день, то есть 31 дня, поутру рано поехал с Москвы на почте к войску до Полоцка и прибыл в Полоцк июня во 12 день. ",1,0,1710,0,с
"  Между тем же получена ведомость с Москвы чрез писма боярина князя Бориса Голицына (которой ведал тогда приказ Казанского дворца), что в Астрахани стрельцы забунтовали, и воеводу Ржевского с протчими некоторыми знатными убили, и в городе засели. ",1,0,1710,0,с
" Да в тот же поход велено к нему итти в случение пехотным же трем полкам: ис Питербурха одному Билсову, другому из Смоленска, третьему с Москвы Архангелогороцкому. ",1,0,1710,0,с
"  Февраля в 4 день государь прибыл в Оршу и тут был с неделю, где собрали несколко войска, а имянно пришел тогда Преображенской баталион (которой был на Москве), и протчих несколко сот старых салдат командрованных разных полков, да новых салдат и рекрут, которых было приведено с Москвы: полк Низовой, что был Алексея Головина, и других рекрут с 4000 человек, а с преображенскими и с другими  старыми салдатами было с 6000 человек. ",1,0,1710,0,с
"  Понеже деньги с Москвы и из других дальных городов суда посылать людем труд, в провозах умедление, нам же может случитца остановка. ",1,0,1721,0,с
  А полковник Юрья Лутохин с Москвы ушел в Нилову пустынь и там постригся. ,1,0,1696,0,с
"  А к черкасскому гетману Ивану Самойловичу послан с Москвы думный дворянин Иван Афанасьевич Желябужский, его и всех черкас ко кресту приводить. ",1,0,1696,0,с
  А к черкасам к гетману к Ивану Самойловичу послан с Москвы его и черкас ко кресту приводить Петр Иванов сын Прончищев. ,1,0,1696,0,с
"  И во 191 (1682) году, видя такое непостоянство и великую смуту, великие государи цари и великие князи Иоанн Алексеевич, Петр Алексеевич, всея Великия и Малыя и Белыя Руссии самодержцы, и великая государыня благоверная царевна и великая княжна София Алексеевна изволили идтить с Москвы в поход к Троице в Сергиев монастырь со всеми боярами. ",1,0,1696,0,с
"  А с Москвы и к Москве стрельцы никого не пропускали, и все были в заговоре. ",1,0,1696,0,с
"  А в то время от нас, великих государей, из похода сбежал его, князь Иванов, сын, князь Иван же, и, прибежав к Москве, вместил многие смутные слова, и от тех его смутных слов во всех полках учали быть сборы ратным обычаем, и стали они, надворная пехота, ходить в город и везде с копьями и со всяким ружьем, и с Пушечного двора пушки развезли по всем  полкам, а иные в Кремль ввезли, и из нашей, великих государей, казны зелье разобрали по себе, и на Красной площади, и в Кремле, и в Китае, и в Белом городе, по воротам, и Земляному городу поставили на караулах многих людей со всяким ружьем, и всяких чинов людей, которые ездят от нас, великих государей, из похода к Москве, и с Москвы к нам,великим государям  , в поход, имают и сажают за караулы, и никаких людей к Москве и из Москвы не пропущают неведомо для чего, и от того в царствующем нашем граде Москве чинится великое смятение и людям страхование. ",1,0,1696,0,с
"  После того прислан с Москвы в Чернигов, на перемену полковнику Борису Дементьеву, Василий Иванов сын Кошелев. ",1,0,1696,0,с
  И после того мира посланы с Москвы по городам великих государей к воеводам богомольные грамоты. ,1,0,1696,0,с
"  И в 195 (1686/87) году послан с Москвы великим и полномочным послом к цесарю и в Польшу боярин Борис Петрович Шереметев с товарищем, с окольничим Иваном Ивановичем Чаадаевым, для уверения и для подкрепления присяги вечного мира. ",1,0,1696,0,с
